tick,local_x,local_y,local_z,drift_m,slip_m,on_floor,below_depth_m
1,0.0000,-0.5770,0.5685,0.0000,0.0000,1,0.0000
2,-0.0000,-0.5788,0.6361,0.0676,0.0676,1,0.0000
3,-0.0000,-0.5808,0.7037,0.1352,0.0676,1,0.0000
4,-0.0000,-0.5830,0.7713,0.2028,0.0676,1,0.0000
5,0.0000,-0.5852,0.8388,0.2704,0.0676,1,0.0000
6,-0.0000,-0.5875,0.9064,0.3380,0.0676,1,0.0000
7,-0.0000,-0.5897,0.9740,0.4056,0.0676,1,0.0000
8,-0.0000,-0.5918,1.0415,0.4732,0.0676,1,0.0000
9,-0.0000,-0.5937,1.1091,0.5408,0.0676,1,0.0000
10,-0.0000,-0.5956,1.1766,0.6084,0.0676,1,0.0000
11,-0.0000,-0.5972,1.2442,0.6760,0.0676,1,0.0000
12,-0.0000,-0.5987,1.3117,0.7435,0.0676,1,0.0000
13,-0.0000,-0.6000,1.3793,0.8111,0.0676,1,0.0000
14,-0.0000,-0.6011,1.4468,0.8786,0.0675,1,0.0011
15,-0.0000,-0.6020,1.5144,0.9462,0.0675,1,0.0020
16,-0.0000,-0.6027,1.5819,1.0137,0.0675,1,0.0027
17,-0.0000,-0.6032,1.6494,1.0812,0.0675,1,0.0032
18,-0.0000,-0.6036,1.7169,1.1487,0.0675,1,0.0036
19,-0.0000,-0.6038,1.7845,1.2163,0.0675,1,0.0038
20,-0.0000,-0.6039,1.8520,1.2838,0.0675,1,0.0039
21,0.0000,-0.6038,1.9195,1.3513,0.0675,1,0.0038
22,0.0000,-0.6037,1.9871,1.4188,0.0675,1,0.0037
23,0.0000,-0.6035,2.0546,1.4863,0.0675,1,0.0035
24,0.0000,-0.6032,2.1221,1.5538,0.0675,1,0.0032
25,0.0000,-0.6029,2.1897,1.6213,0.0675,1,0.0029
26,0.0000,-0.6025,2.2572,1.6889,0.0675,1,0.0025
27,0.0000,-0.6021,2.3247,1.7564,0.0675,1,0.0021
28,0.0000,-0.6017,2.3922,1.8239,0.0675,1,0.0017
29,0.0000,-0.6013,2.4598,1.8914,0.0675,1,0.0013
30,0.0000,-0.6009,2.5273,1.9589,0.0675,1,0.0009
31,0.0000,-0.6005,2.4615,1.8931,0.0658,1,0.0005
32,0.0000,-0.6001,2.3957,1.8273,0.0658,1,0.0001
33,0.0000,-0.5998,2.3298,1.7615,0.0658,1,0.0000
34,0.0000,-0.5995,2.2640,1.6957,0.0658,1,0.0000
35,0.0000,-0.5992,2.1982,1.6298,0.0658,1,0.0000
36,0.0000,-0.5990,2.1324,1.5640,0.0658,1,0.0000
37,0.0000,-0.5988,2.0666,1.4982,0.0658,1,0.0000
38,0.0000,-0.5986,2.0007,1.4324,0.0658,1,0.0000
39,0.0000,-0.5985,1.9349,1.3666,0.0658,1,0.0000
40,0.0000,-0.5984,1.8691,1.3007,0.0658,1,0.0000
41,0.0000,-0.5983,1.8033,1.2349,0.0658,1,0.0000
42,0.0000,-0.5983,1.7374,1.1691,0.0658,1,0.0000
43,0.0000,-0.5982,1.6716,1.1033,0.0658,1,0.0000
44,0.0000,-0.5982,1.6058,1.0375,0.0658,1,0.0000
45,0.0000,-0.5983,1.5399,0.9716,0.0658,1,0.0000
46,-0.0000,-0.5983,1.4741,0.9058,0.0658,1,0.0000
47,0.0000,-0.5984,1.4083,0.8400,0.0658,1,0.0000
48,0.0000,-0.5984,1.3424,0.7742,0.0658,1,0.0000
49,0.0000,-0.5985,1.2766,0.7084,0.0658,1,0.0000
50,0.0000,-0.5986,1.2108,0.6426,0.0658,1,0.0000
51,0.0000,-0.5987,1.1449,0.5768,0.0658,1,0.0000
52,0.0000,-0.5987,1.0791,0.5110,0.0658,1,0.0000
53,0.0000,-0.5988,1.0132,0.4452,0.0658,1,0.0000
54,0.0000,-0.5989,0.9474,0.3795,0.0659,1,0.0000
55,-0.0000,-0.5990,0.8815,0.3138,0.0658,1,0.0000
56,0.0000,-0.5990,0.8157,0.2481,0.0658,1,0.0000
57,0.0000,-0.5991,0.7498,0.1826,0.0659,1,0.0000
58,0.0000,-0.5992,0.6840,0.1176,0.0659,1,0.0000
59,0.0000,-0.5992,0.6181,0.0543,0.0658,1,0.0000
60,0.0000,-0.5993,0.5523,0.0276,0.0659,1,0.0000
61,0.0000,-0.5993,0.4864,0.0851,0.0659,1,0.0000
62,0.0000,-0.5993,0.4205,0.1497,0.0659,1,0.0000
63,0.0000,-0.5993,0.3547,0.2150,0.0659,1,0.0000
64,0.0000,-0.5994,0.2888,0.2806,0.0659,1,0.0000
65,0.0000,-0.5994,0.2230,0.3463,0.0659,1,0.0000
66,0.0000,-0.5994,0.1571,0.4120,0.0659,1,0.0000
67,0.0000,-0.5994,0.0912,0.4778,0.0659,1,0.0000
68,0.0000,-0.5994,0.0254,0.5436,0.0659,1,0.0000
69,0.0000,-0.5994,-0.0405,0.6094,0.0659,1,0.0000
70,0.0000,-0.5994,-0.1064,0.6753,0.0659,1,0.0000
71,0.0000,-0.5994,-0.1722,0.7411,0.0659,1,0.0000
72,0.0000,-0.5993,-0.2381,0.8069,0.0659,1,0.0000
73,0.0000,-0.5993,-0.3040,0.8728,0.0659,1,0.0000
74,0.0000,-0.5993,-0.3699,0.9386,0.0659,1,0.0000
75,0.0000,-0.5993,-0.4357,1.0045,0.0659,1,0.0000
76,0.0000,-0.5993,-0.5016,1.0704,0.0659,1,0.0000
77,0.0000,-0.5993,-0.5675,1.1362,0.0659,1,0.0000
78,0.0000,-0.5993,-0.6334,1.2021,0.0659,1,0.0000
79,0.0000,-0.5993,-0.6992,1.2680,0.0659,1,0.0000
80,0.0000,-0.5993,-0.7651,1.3338,0.0659,1,0.0000
81,0.0000,-0.5992,-0.8310,1.3997,0.0659,1,0.0000
82,0.0000,-0.5992,-0.8969,1.4656,0.0659,1,0.0000
83,0.0000,-0.5992,-0.9628,1.5315,0.0659,1,0.0000
84,0.0000,-0.5992,-1.0287,1.5973,0.0659,1,0.0000
85,0.0000,-0.5992,-1.0946,1.6632,0.0659,1,0.0000
86,0.0000,-0.5992,-1.1605,1.7291,0.0659,1,0.0000
87,0.0000,-0.5992,-1.2263,1.7950,0.0659,1,0.0000
88,0.0000,-0.5992,-1.2922,1.8609,0.0659,1,0.0000
89,0.0000,-0.5992,-1.3581,1.9268,0.0659,1,0.0000
90,0.0000,-0.5992,-1.4240,1.9927,0.0659,1,0.0000
91,0.0000,-0.5992,-1.4899,2.0586,0.0659,1,0.0000
92,0.0000,-0.5992,-1.5558,2.1245,0.0659,1,0.0000
93,0.0000,-0.5992,-1.6217,2.1904,0.0659,1,0.0000
94,0.0000,-0.5993,-1.6876,2.2563,0.0659,1,0.0000
95,0.0000,-0.5993,-1.7535,2.3222,0.0659,1,0.0000
96,0.0000,-0.5993,-1.8194,2.3881,0.0659,1,0.0000
97,0.0000,-0.5993,-1.8853,2.4540,0.0659,1,0.0000
98,0.0000,-0.5993,-1.9512,2.5199,0.0659,1,0.0000
99,0.0000,-0.5993,-2.0171,2.5858,0.0659,1,0.0000
100,0.0000,-0.5993,-2.0831,2.6517,0.0659,1,0.0000
101,0.0000,-0.5993,-2.1490,2.7176,0.0659,1,0.0000
102,0.0000,-0.5993,-2.2149,2.7835,0.0659,1,0.0000
103,0.0000,-0.5993,-2.2808,2.8494,0.0659,1,0.0000
104,0.0000,-0.5993,-2.3467,2.9153,0.0659,1,0.0000
105,0.0000,-0.5993,-2.4126,2.9812,0.0659,1,0.0000
106,0.0000,-0.5993,-2.4785,3.0471,0.0659,1,0.0000
107,0.0000,-0.5993,-2.5445,3.1131,0.0659,1,0.0000
108,0.0000,-0.5993,-2.4770,3.0457,0.0674,1,0.0000
109,0.0000,-0.5993,-2.4096,2.9782,0.0674,1,0.0000
110,0.0000,-0.5993,-2.3422,2.9108,0.0674,1,0.0000
111,0.0000,-0.5993,-2.2748,2.8434,0.0674,1,0.0000
112,0.0000,-0.5993,-2.2074,2.7760,0.0674,1,0.0000
113,0.0000,-0.5993,-2.1400,2.7086,0.0674,1,0.0000
114,0.0000,-0.5993,-2.0726,2.6412,0.0674,1,0.0000
115,0.0000,-0.5993,-2.0052,2.5738,0.0674,1,0.0000
116,0.0000,-0.5993,-1.9378,2.5064,0.0674,1,0.0000
117,0.0000,-0.5993,-1.8704,2.4390,0.0674,1,0.0000
118,0.0000,-0.5993,-1.8030,2.3716,0.0674,1,0.0000
119,0.0000,-0.5993,-1.7356,2.3042,0.0674,1,0.0000
120,0.0000,-0.5993,-1.6682,2.2369,0.0674,1,0.0000
121,0.0000,-0.5994,-1.6008,2.1695,0.0674,1,0.0000
122,0.0000,-0.5994,-1.5334,2.1021,0.0674,1,0.0000
123,0.0000,-0.5994,-1.4660,2.0347,0.0674,1,0.0000
124,0.0000,-0.5994,-1.3987,1.9673,0.0674,1,0.0000
125,0.0000,-0.5994,-1.3313,1.8999,0.0674,1,0.0000
126,0.0000,-0.5994,-1.2639,1.8325,0.0674,1,0.0000
127,0.0000,-0.5994,-1.1965,1.7652,0.0674,1,0.0000
128,0.0000,-0.5994,-1.1291,1.6978,0.0674,1,0.0000
129,0.0000,-0.5994,-1.0617,1.6304,0.0674,1,0.0000
130,0.0000,-0.5994,-0.9943,1.5630,0.0674,1,0.0000
131,0.0000,-0.5994,-0.9270,1.4956,0.0674,1,0.0000
132,0.0000,-0.5994,-0.8596,1.4283,0.0674,1,0.0000
133,0.0000,-0.5994,-0.7922,1.3609,0.0674,1,0.0000
134,0.0000,-0.5994,-0.7248,1.2935,0.0674,1,0.0000
135,0.0000,-0.5994,-0.6574,1.2262,0.0674,1,0.0000
136,0.0000,-0.5994,-0.5901,1.1588,0.0674,1,0.0000
137,0.0000,-0.5994,-0.5227,1.0914,0.0674,1,0.0000
138,0.0000,-0.5994,-0.4553,1.0241,0.0674,1,0.0000
139,0.0000,-0.5994,-0.3879,0.9567,0.0674,1,0.0000
140,0.0000,-0.5994,-0.3206,0.8894,0.0674,1,0.0000
141,0.0000,-0.5994,-0.2532,0.8220,0.0674,1,0.0000
142,0.0000,-0.5994,-0.1858,0.7547,0.0674,1,0.0000
143,0.0000,-0.5994,-0.1185,0.6874,0.0674,1,0.0000
144,0.0000,-0.5994,-0.0511,0.6200,0.0674,1,0.0000
145,0.0000,-0.5994,0.0163,0.5527,0.0674,1,0.0000
146,0.0000,-0.5994,0.0836,0.4854,0.0674,1,0.0000
147,0.0000,-0.5994,0.1510,0.4181,0.0674,1,0.0000
148,0.0000,-0.5994,0.2183,0.3509,0.0674,1,0.0000
149,0.0000,-0.5994,0.2857,0.2837,0.0674,1,0.0000
150,0.0000,-0.5994,0.3531,0.2166,0.0674,1,0.0000
151,0.0000,-0.5994,0.4204,0.1498,0.0674,1,0.0000
152,0.0000,-0.5994,0.4878,0.0838,0.0674,1,0.0000
153,0.0000,-0.5994,0.5551,0.0261,0.0674,1,0.0000
154,0.0000,-0.5994,0.6225,0.0584,0.0674,1,0.0000
155,0.0000,-0.5994,0.6898,0.1234,0.0674,1,0.0000
156,0.0000,-0.5994,0.7572,0.1900,0.0674,1,0.0000
157,0.0000,-0.5994,0.8245,0.2570,0.0673,1,0.0000
158,0.0000,-0.5994,0.8919,0.3241,0.0673,1,0.0000
159,0.0000,-0.5994,0.9592,0.3914,0.0674,1,0.0000
160,0.0000,-0.5994,1.0266,0.4586,0.0673,1,0.0000
161,0.0000,-0.5994,1.0939,0.5259,0.0673,1,0.0000
162,0.0000,-0.5994,1.1613,0.5932,0.0673,1,0.0000
163,0.0000,-0.5994,1.2286,0.6605,0.0673,1,0.0000
164,0.0000,-0.5995,1.2960,0.7278,0.0673,1,0.0000
165,0.0000,-0.5995,1.3633,0.7951,0.0673,1,0.0000
166,0.0000,-0.5995,1.4306,0.8624,0.0673,1,0.0000
167,0.0000,-0.5995,1.4980,0.9297,0.0673,1,0.0000
168,0.0000,-0.5995,1.5653,0.9970,0.0673,1,0.0000
169,0.0000,-0.5995,1.6326,1.0644,0.0673,1,0.0000
170,0.0000,-0.5995,1.7000,1.1317,0.0673,1,0.0000
171,0.0000,-0.5995,1.7673,1.1990,0.0673,1,0.0000
172,0.0000,-0.5995,1.8346,1.2663,0.0673,1,0.0000
173,0.0000,-0.5995,1.9020,1.3336,0.0673,1,0.0000
174,0.0000,-0.5995,1.9693,1.4010,0.0673,1,0.0000
175,0.0000,-0.5995,2.0366,1.4683,0.0673,1,0.0000
176,0.0000,-0.5995,2.1040,1.5356,0.0673,1,0.0000
177,0.0000,-0.5995,2.1713,1.6029,0.0673,1,0.0000
178,0.0000,-0.5995,2.2386,1.6702,0.0673,1,0.0000
179,0.0000,-0.5995,2.3059,1.7376,0.0673,1,0.0000
180,0.0000,-0.5995,2.3733,1.8049,0.0673,1,0.0000
181,0.0000,-0.5995,2.4406,1.8722,0.0673,1,0.0000
182,0.0000,-0.5995,2.5079,1.9395,0.0673,1,0.0000
183,0.0000,-0.5995,2.4419,1.8735,0.0660,1,0.0000
184,0.0000,-0.5995,2.3759,1.8075,0.0660,1,0.0000
185,0.0000,-0.5995,2.3099,1.7415,0.0660,1,0.0000
186,0.0000,-0.5995,2.2439,1.6755,0.0660,1,0.0000
187,0.0000,-0.5995,2.1778,1.6095,0.0660,1,0.0000
188,0.0000,-0.5995,2.1118,1.5435,0.0660,1,0.0000
189,0.0000,-0.5995,2.0458,1.4775,0.0660,1,0.0000
190,0.0000,-0.5995,1.9798,1.4114,0.0660,1,0.0000
191,0.0000,-0.5995,1.9138,1.3454,0.0660,1,0.0000
192,0.0000,-0.5995,1.8478,1.2794,0.0660,1,0.0000
193,0.0000,-0.5995,1.7817,1.2134,0.0660,1,0.0000
194,0.0000,-0.5995,1.7157,1.1474,0.0660,1,0.0000
195,0.0000,-0.5995,1.6497,1.0814,0.0660,1,0.0000
196,0.0000,-0.5995,1.5837,1.0154,0.0660,1,0.0000
197,0.0000,-0.5995,1.5176,0.9494,0.0660,1,0.0000
198,0.0000,-0.5995,1.4516,0.8834,0.0660,1,0.0000
199,0.0000,-0.5995,1.3856,0.8174,0.0660,1,0.0000
200,0.0000,-0.5995,1.3195,0.7514,0.0660,1,0.0000
201,0.0000,-0.5995,1.2535,0.6854,0.0660,1,0.0000
202,0.0000,-0.5995,1.1875,0.6194,0.0660,1,0.0000
203,0.0001,-0.6009,1.1138,0.5458,0.0737,1,0.0009
204,0.0000,-0.6011,1.0473,0.4794,0.0665,1,0.0011
205,0.0000,-0.6015,0.9811,0.4133,0.0662,1,0.0015
206,0.0000,-0.6019,0.9149,0.3473,0.0662,1,0.0019
207,0.0000,-0.6023,0.8488,0.2814,0.0661,1,0.0023
208,-0.0000,-0.6026,0.7827,0.2157,0.0661,1,0.0026
209,-0.0000,-0.6028,0.7167,0.1504,0.0660,1,0.0028
210,-0.0000,-0.6030,0.6507,0.0862,0.0660,1,0.0030
211,-0.0000,-0.6031,0.5848,0.0308,0.0659,1,0.0031
212,-0.0000,-0.6032,0.5189,0.0561,0.0659,1,0.0032
213,-0.0000,-0.6031,0.4530,0.1184,0.0658,1,0.0031
214,-0.0000,-0.6030,0.3873,0.1831,0.0658,1,0.0030
215,-0.0000,-0.6028,0.3216,0.2483,0.0657,1,0.0028
216,-0.0000,-0.6026,0.2559,0.3137,0.0657,1,0.0026
217,-0.0000,-0.6023,0.1903,0.3791,0.0656,1,0.0023
218,-0.0000,-0.6019,0.1248,0.4445,0.0655,1,0.0019
219,-0.0000,-0.6015,0.0593,0.5098,0.0655,1,0.0015
220,-0.0000,-0.6010,-0.0061,0.5751,0.0654,1,0.0010
221,-0.0000,-0.6005,-0.0715,0.6404,0.0653,1,0.0005
222,-0.0000,-0.5999,-0.1367,0.7056,0.0653,1,0.0000
223,-0.0000,-0.5993,-0.2019,0.7708,0.0652,1,0.0000
224,-0.0000,-0.5987,-0.2670,0.8359,0.0651,1,0.0000
225,-0.0000,-0.5980,-0.3321,0.9009,0.0650,1,0.0000
226,-0.0000,-0.5974,-0.3971,0.9658,0.0650,1,0.0000
227,-0.0000,-0.5967,-0.4619,1.0306,0.0649,1,0.0000
228,-0.0000,-0.5960,-0.5267,1.0954,0.0648,1,0.0000
229,-0.0000,-0.5953,-0.5914,1.1601,0.0647,1,0.0000
230,-0.0000,-0.5946,-0.6561,1.2247,0.0646,1,0.0000
231,-0.0000,-0.5939,-0.7206,1.2892,0.0645,1,0.0000
232,-0.0000,-0.5932,-0.7850,1.3536,0.0644,1,0.0000
233,-0.0000,-0.5925,-0.8494,1.4180,0.0643,1,0.0000
234,-0.0000,-0.5918,-0.9136,1.4822,0.0642,1,0.0000
235,-0.0000,-0.5911,-0.9777,1.5463,0.0641,1,0.0000
236,-0.0000,-0.5904,-1.0417,1.6103,0.0640,1,0.0000
237,-0.0000,-0.5897,-1.1057,1.6742,0.0639,1,0.0000
238,-0.0000,-0.5896,-1.1696,1.7382,0.0640,1,0.0000
239,-0.0000,-0.5898,-1.2335,1.8020,0.0638,1,0.0000
240,-0.0000,-0.5901,-1.2972,1.8658,0.0638,1,0.0000
241,-0.0000,-0.5905,-1.3609,1.9295,0.0637,1,0.0000
242,-0.0000,-0.5910,-1.4246,1.9932,0.0637,1,0.0000
243,-0.0000,-0.5916,-1.4883,2.0568,0.0637,1,0.0000
244,-0.0000,-0.5922,-1.5519,2.1205,0.0637,1,0.0000
245,-0.0000,-0.5929,-1.6156,2.1842,0.0637,1,0.0000
246,-0.0000,-0.5936,-1.6793,2.2479,0.0637,1,0.0000
247,-0.0000,-0.5943,-1.7430,2.3116,0.0637,1,0.0000
248,-0.0000,-0.5950,-1.8068,2.3754,0.0638,1,0.0000
249,-0.0000,-0.5956,-1.8706,2.4392,0.0638,1,0.0000
250,-0.0000,-0.5962,-1.9344,2.5030,0.0638,1,0.0000
251,-0.0000,-0.5967,-1.9983,2.5669,0.0639,1,0.0000
252,-0.0000,-0.5972,-2.0622,2.6308,0.0639,1,0.0000
253,-0.0000,-0.5976,-2.1261,2.6947,0.0639,1,0.0000
254,-0.0000,-0.5980,-2.1901,2.7587,0.0640,1,0.0000
255,-0.0000,-0.5983,-2.2541,2.8227,0.0640,1,0.0000
256,-0.0000,-0.5985,-2.3181,2.8867,0.0640,1,0.0000
257,-0.0000,-0.5986,-2.3821,2.9507,0.0640,1,0.0000
258,-0.0000,-0.5987,-2.4462,3.0148,0.0640,1,0.0000
259,-0.0000,-0.5987,-2.5102,3.0788,0.0641,1,0.0000
260,-0.0000,-0.5996,-2.4432,3.0118,0.0671,1,0.0000
261,-0.0000,-0.5988,-2.3763,2.9449,0.0669,1,0.0000
262,-0.0000,-0.5981,-2.3095,2.8781,0.0668,1,0.0000
263,-0.0000,-0.5988,-2.2424,2.8111,0.0671,1,0.0000
264,-0.0000,-0.5980,-2.1756,2.7442,0.0668,1,0.0000
265,-0.0000,-0.5987,-2.1085,2.6772,0.0671,1,0.0000
266,-0.0000,-0.5979,-2.0417,2.6103,0.0669,1,0.0000
267,-0.0000,-0.5971,-1.9749,2.5435,0.0668,1,0.0000
268,-0.0000,-0.5978,-1.9078,2.4764,0.0670,1,0.0000
269,-0.0000,-0.5942,-1.8410,2.4096,0.0669,1,0.0000
270,-0.0000,-0.5923,-1.7739,2.3425,0.0671,1,0.0000
271,-0.0000,-0.5890,-1.7070,2.2756,0.0669,1,0.0000
272,-0.0000,-0.5875,-1.6400,2.2085,0.0671,1,0.0000
273,-0.0000,-0.5847,-1.5730,2.1416,0.0670,1,0.0000
274,-0.0000,-0.5838,-1.5059,2.0744,0.0671,1,0.0000
275,-0.0000,-0.5818,-1.4389,2.0075,0.0670,1,0.0000
276,-0.0000,-0.5805,-1.3719,1.9404,0.0671,1,0.0000
277,-0.0000,-0.5815,-1.3046,1.8731,0.0673,1,0.0000
278,-0.0000,-0.5808,-1.2374,1.8060,0.0672,1,0.0000
279,-0.0000,-0.5817,-1.1702,1.7388,0.0672,1,0.0000
280,-0.0000,-0.5824,-1.1030,1.6715,0.0673,1,0.0000
281,-0.0000,-0.5838,-1.0357,1.6042,0.0673,1,0.0000
282,-0.0000,-0.5847,-0.9684,1.5369,0.0673,1,0.0000
283,-0.0000,-0.5863,-0.9010,1.4696,0.0674,1,0.0000
284,-0.0000,-0.5880,-0.8337,1.4022,0.0674,1,0.0000
285,-0.0000,-0.5898,-0.7663,1.3349,0.0674,1,0.0000
286,-0.0000,-0.5917,-0.6989,1.2675,0.0674,1,0.0000
287,-0.0000,-0.5936,-0.6316,1.2002,0.0674,1,0.0000
288,-0.0000,-0.5955,-0.5642,1.1329,0.0674,1,0.0000
289,-0.0001,-0.5974,-0.4969,1.0656,0.0674,1,0.0000
290,-0.0001,-0.5993,-0.4296,0.9983,0.0673,1,0.0000
291,-0.0001,-0.6012,-0.3623,0.9311,0.0673,1,0.0012
292,-0.0001,-0.6030,-0.2950,0.8639,0.0673,1,0.0030
293,-0.0001,-0.6047,-0.2278,0.7968,0.0673,1,0.0047
294,-0.0001,-0.6064,-0.1606,0.7297,0.0672,1,0.0064
295,-0.0001,-0.6081,-0.0934,0.6626,0.0672,1,0.0081
296,-0.0001,-0.6097,-0.0263,0.5957,0.0672,1,0.0097
297,-0.0001,-0.6112,0.0409,0.5288,0.0671,1,0.0112
298,-0.0001,-0.6127,0.1079,0.4620,0.0671,1,0.0127
299,-0.0001,-0.6135,0.1751,0.3951,0.0672,1,0.0135
300,-0.0001,-0.6132,0.2424,0.3282,0.0672,1,0.0132
301,-0.0001,-0.6126,0.3095,0.2614,0.0672,1,0.0126
302,-0.0001,-0.6107,0.3767,0.1948,0.0672,1,0.0107
303,-0.0001,-0.6087,0.4439,0.1286,0.0672,1,0.0087
304,-0.0001,-0.6068,0.5110,0.0648,0.0671,1,0.0068
305,-0.0001,-0.6049,0.5781,0.0295,0.0671,1,0.0049
306,-0.0001,-0.6030,0.6451,0.0809,0.0671,1,0.0030
307,-0.0001,-0.6012,0.7117,0.1452,0.0666,1,0.0012
308,-0.0001,-0.5993,0.7782,0.2109,0.0666,1,0.0000
309,-0.0001,-0.5975,0.8447,0.2769,0.0665,1,0.0000
310,-0.0001,-0.5957,0.9111,0.3431,0.0665,1,0.0000
311,-0.0001,-0.5940,0.9775,0.4094,0.0664,1,0.0000
312,-0.0001,-0.5930,1.0443,0.4761,0.0668,1,0.0000
313,-0.0001,-0.5927,1.1111,0.5428,0.0668,1,0.0000
314,-0.0001,-0.5929,1.1778,0.6095,0.0667,1,0.0000
315,-0.0001,-0.5935,1.2444,0.6761,0.0666,1,0.0000
316,-0.0001,-0.5944,1.3110,0.7427,0.0666,1,0.0000
317,-0.0001,-0.5956,1.3775,0.8092,0.0665,1,0.0000
318,-0.0001,-0.5971,1.4439,0.8756,0.0664,1,0.0000
319,-0.0001,-0.5988,1.5101,0.9419,0.0663,1,0.0000
320,-0.0001,-0.6007,1.5763,1.0080,0.0662,1,0.0007
321,-0.0001,-0.6027,1.6423,1.0741,0.0661,1,0.0027
322,-0.0001,-0.6048,1.7082,1.1401,0.0660,1,0.0048
323,-0.0001,-0.6070,1.7740,1.2059,0.0658,1,0.0070
324,-0.0001,-0.6092,1.8397,1.2716,0.0657,1,0.0092
325,-0.0001,-0.6114,1.9052,1.3371,0.0656,1,0.0114
326,-0.0001,-0.6136,1.9706,1.4025,0.0654,1,0.0136
327,-0.0001,-0.6158,2.0358,1.4678,0.0653,1,0.0158
328,-0.0001,-0.6180,2.1009,1.5329,0.0651,1,0.0180
329,-0.0001,-0.6200,2.1659,1.5979,0.0650,1,0.0200
330,-0.0001,-0.6191,2.2309,1.6629,0.0651,1,0.0191
331,-0.0001,-0.6174,2.2958,1.7278,0.0650,1,0.0174
332,-0.0001,-0.6155,2.3607,1.7925,0.0648,1,0.0155
333,-0.0001,-0.6133,2.4254,1.8572,0.0648,1,0.0133
334,-0.0001,-0.6110,2.4900,1.9218,0.0647,1,0.0110
335,-0.0001,-0.6086,2.5546,1.9863,0.0646,1,0.0086
336,-0.0001,-0.6060,2.4889,1.9206,0.0658,1,0.0060
337,-0.0001,-0.6034,2.4232,1.8548,0.0658,1,0.0034
338,-0.0001,-0.6010,2.3574,1.7891,0.0658,1,0.0010
339,-0.0001,-0.5989,2.2917,1.7233,0.0658,1,0.0000
340,-0.0001,-0.5962,2.2260,1.6576,0.0657,1,0.0000
341,-0.0001,-0.5940,2.1604,1.5920,0.0656,1,0.0000
342,-0.0001,-0.5936,2.0946,1.5262,0.0658,1,0.0000
343,-0.0001,-0.5925,2.0290,1.4605,0.0657,1,0.0000
344,-0.0001,-0.5918,1.9633,1.3948,0.0657,1,0.0000
345,-0.0001,-0.5915,1.8975,1.3291,0.0657,1,0.0000
346,-0.0001,-0.5900,1.8320,1.2636,0.0655,1,0.0000
347,-0.0001,-0.5914,1.7661,1.1977,0.0659,1,0.0000
348,-0.0001,-0.5904,1.7006,1.1321,0.0656,1,0.0000
349,-0.0001,-0.5911,1.6348,1.0664,0.0658,1,0.0000
350,-0.0001,-0.5920,1.5690,1.0006,0.0658,1,0.0000
351,-0.0001,-0.5914,1.5034,0.9350,0.0656,1,0.0000
352,-0.0001,-0.5925,1.4376,0.8692,0.0658,1,0.0000
353,0.0001,-0.5923,1.3665,0.7981,0.0711,1,0.0000
354,-0.0001,-0.5948,1.2947,0.7264,0.0718,1,0.0000
355,-0.0001,-0.5964,1.2288,0.6606,0.0659,1,0.0000
356,-0.0001,-0.5959,1.1628,0.5946,0.0660,1,0.0000
357,-0.0001,-0.5981,1.0968,0.5287,0.0660,1,0.0000
358,-0.0001,-0.5982,1.0308,0.4628,0.0660,1,0.0000
359,-0.0001,-0.5982,0.9647,0.3968,0.0661,1,0.0000
360,-0.0001,-0.5990,0.8986,0.3308,0.0661,1,0.0000
361,-0.0001,-0.5997,0.8325,0.2650,0.0661,1,0.0000
362,-0.0001,-0.5990,0.7663,0.1990,0.0662,1,0.0000
363,-0.0001,-0.5990,0.7002,0.1335,0.0662,1,0.0000
364,-0.0001,-0.5988,0.6340,0.0690,0.0662,1,0.0000
365,-0.0001,-0.5985,0.5678,0.0215,0.0662,1,0.0000
366,-0.0001,-0.5981,0.5016,0.0701,0.0662,1,0.0000
367,-0.0001,-0.5975,0.4354,0.1347,0.0662,1,0.0000
368,-0.0001,-0.5968,0.3692,0.2003,0.0662,1,0.0000
369,-0.0001,-0.5960,0.3030,0.2662,0.0662,1,0.0000
370,-0.0001,-0.5951,0.2368,0.3322,0.0662,1,0.0000
371,-0.0001,-0.5942,0.1706,0.3983,0.0662,1,0.0000
372,-0.0001,-0.5931,0.1044,0.4644,0.0662,1,0.0000
373,-0.0001,-0.5919,0.0383,0.5305,0.0662,1,0.0000
374,-0.0001,-0.5907,-0.0279,0.5965,0.0662,1,0.0000
375,-0.0001,-0.5895,-0.0940,0.6626,0.0661,1,0.0000
376,-0.0001,-0.5882,-0.1601,0.7287,0.0661,1,0.0000
377,-0.0001,-0.5869,-0.2261,0.7947,0.0661,1,0.0000
378,-0.0001,-0.5869,-0.2922,0.8608,0.0661,1,0.0000
379,-0.0001,-0.5879,-0.3583,0.9269,0.0661,1,0.0000
380,-0.0001,-0.5889,-0.4243,0.9929,0.0660,1,0.0000
381,-0.0001,-0.5901,-0.4903,1.0589,0.0660,1,0.0000
382,-0.0001,-0.5913,-0.5563,1.1249,0.0660,1,0.0000
383,-0.0001,-0.5925,-0.6222,1.1909,0.0660,1,0.0000
384,-0.0001,-0.5937,-0.6882,1.2568,0.0660,1,0.0000
385,-0.0001,-0.5949,-0.7542,1.3228,0.0660,1,0.0000
386,-0.0001,-0.5960,-0.8202,1.3888,0.0660,1,0.0000
387,-0.0001,-0.5970,-0.8862,1.4549,0.0660,1,0.0000
388,-0.0001,-0.5980,-0.9522,1.5209,0.0660,1,0.0000
