tick,utc_us,local_x,local_y,local_z,slip_m,bus_support,bus_x,bus_y,bus_z,snapshots_received,source_s,playback_s,bus_write_m,inside_hull,cargo_contact,cargo_contact_previous_three,slip_eligible,push_active,cargo_history_complete
1,1789626018657000,0.007234573,-0.598980188,1.632537842,0.000000000,1,30.000000000,0.977351844,-95.000000000,76,2.533333333,2.500000000,0.000027716,1,0,0,0,0,0
2,1789626018661000,0.014467239,-0.598980248,1.665069580,0.033326048,1,30.000000000,0.977324128,-95.000000000,79,2.633333333,2.516666667,0.000027716,1,0,0,0,0,0
3,1789626018662000,0.021699905,-0.598994374,1.697601318,0.033326052,1,30.000000000,0.977310598,-95.000000000,79,2.633333333,2.533333333,0.000013530,1,0,0,0,0,0
4,1789626018664000,0.028932571,-0.598994374,1.730133057,0.033326048,1,30.000000000,0.977297068,-95.000000000,79,2.633333333,2.550000000,0.000013530,1,0,0,1,0,1
5,1789626018665000,0.036163330,-0.599096298,1.763122559,0.033772793,1,30.000000000,0.977295339,-94.999511719,79,2.633333333,2.566666667,0.000488284,1,0,0,1,0,1
6,1789626018666000,0.043399811,-0.599098146,1.795661926,0.033334322,1,30.000001907,0.977293611,-94.999015808,79,2.633333333,2.583333333,0.000495917,1,0,0,1,0,1
7,1789626018668000,0.050638199,-0.599403024,1.830032349,0.035125677,1,30.000003815,0.977300763,-94.996582031,79,2.633333333,2.600000000,0.002433788,1,0,0,1,0,1
8,1789626018669000,0.050634384,-0.599403143,1.830047607,0.000015729,1,30.000003815,0.977307975,-94.994140625,80,2.666666667,2.616666667,0.002441417,1,0,0,1,0,1
9,1789626018686000,0.050636292,-0.599561453,1.831886292,0.001845488,1,30.000007629,0.977321148,-94.989807129,80,2.666666667,2.633333333,0.004333518,1,0,0,1,0,1
10,1789626018704000,0.055963516,-0.599553823,1.798957825,0.033356607,1,30.000009537,0.977334261,-94.985473633,81,2.700000000,2.650000000,0.004333517,1,0,0,1,0,1
11,1789626018720000,0.061290741,-0.599589109,1.767890930,0.031520352,1,30.000011444,0.977350712,-94.979293823,81,2.700000000,2.666666667,0.006179831,1,0,0,1,0,1
12,1789626018736000,0.066608429,-0.599580467,1.734970093,0.033347555,1,30.000013351,0.977367163,-94.973121643,82,2.733333333,2.683333333,0.006172202,1,0,0,1,0,1
13,1789626018754000,0.071929932,-0.599540472,1.703887939,0.031534430,1,30.000013351,0.977384686,-94.965126038,82,2.733333333,2.700000000,0.007995625,1,0,0,1,0,1
14,1789626018771000,0.077239990,-0.599532902,1.670951843,0.033361401,1,30.000013351,0.977402151,-94.957130432,83,2.766666667,2.716666667,0.007995625,1,0,0,1,0,1
15,1789626018787000,0.082550049,-0.599452317,1.639854431,0.031547621,1,30.000013351,0.977419019,-94.947334290,83,2.766666667,2.733333333,0.009796157,1,0,0,1,0,1
16,1789626018804000,0.087852478,-0.599446058,1.606925964,0.033352658,1,30.000013351,0.977435827,-94.937538147,84,2.800000000,2.750000000,0.009796157,1,0,0,1,0,1
17,1789626018820000,0.093158722,-0.599351048,1.575813293,0.031562060,1,30.000011444,0.977450788,-94.925964355,84,2.800000000,2.766666667,0.011573802,1,0,0,1,0,1
18,1789626018837000,0.098453522,-0.599346936,1.542892456,0.033343911,1,30.000011444,0.977465749,-94.914382935,85,2.833333333,2.783333333,0.011581430,1,0,0,1,0,1
19,1789626018854000,0.103746414,-0.599255323,1.511756897,0.031582370,1,30.000007629,0.977478147,-94.901031494,85,2.833333333,2.800000000,0.013351447,1,0,0,1,0,1
20,1789626018870000,0.109027863,-0.599252462,1.478805542,0.033371925,1,30.000005722,0.977490485,-94.887680054,86,2.866666667,2.816666667,0.013351446,1,0,0,1,0,1
21,1789626018886000,0.114311218,-0.599174976,1.447677612,0.031573214,1,30.000003815,0.977499843,-94.872550964,86,2.866666667,2.833333333,0.015129092,1,0,0,1,0,1
22,1789626018906000,0.119588852,-0.599173427,1.414726257,0.033371322,1,30.000001907,0.977509260,-94.857421875,87,2.900000000,2.850000000,0.015129092,1,0,0,1,0,1
23,1789626018920000,0.124862671,-0.599114776,1.383575439,0.031594146,1,30.000000000,0.977515697,-94.840515137,87,2.900000000,2.866666667,0.016906740,1,0,0,1,0,1
24,1789626018936000,0.130123138,-0.599114239,1.350616455,0.033376146,1,29.999996185,0.977522135,-94.823616028,87,2.900000000,2.883333333,0.016899111,1,0,0,1,0,1
25,1789626018954000,0.135381699,-0.599074721,1.319458008,0.031599097,1,29.999994278,0.977525771,-94.804946899,87,2.900000000,2.900000000,0.018669128,1,0,0,1,0,1
26,1789626018971000,0.140630722,-0.599074841,1.286506653,0.033366811,1,29.999992371,0.977529407,-94.786270142,88,2.966666667,2.916666667,0.018676758,1,0,0,1,0,1
27,1789626018987000,0.145879745,-0.599047422,1.256233215,0.030725136,1,29.999990463,0.977529764,-94.764930725,88,2.966666667,2.933333333,0.021339417,1,0,0,1,0,1
28,1789626019005000,0.151105881,-0.599047899,1.223274231,0.033370752,1,29.999988556,0.977530181,-94.743591309,88,2.966666667,2.950000000,0.021339417,1,0,0,1,0,1
29,1789626019021000,0.156333923,-0.599048436,1.190322876,0.033363517,1,29.999988556,0.977530599,-94.722251892,89,3.000000000,2.966666667,0.021339417,1,0,0,1,0,1
30,1789626019038000,0.161556244,-0.599048853,1.157363892,0.033370156,1,29.999986649,0.977530956,-94.700912476,90,3.033333333,2.983333333,0.021339417,1,0,0,1,0,1
31,1789626019053000,0.166784286,-0.599045873,1.127082825,0.030729065,1,29.999984741,0.977529049,-94.676910400,90,3.033333333,3.000000000,0.024002075,1,0,0,1,0,1
32,1789626019069000,0.171987534,-0.599046171,1.094123840,0.033367176,1,29.999984741,0.977527142,-94.652908325,91,3.066666667,3.016666667,0.024002075,1,0,0,1,0,1
33,1789626019088000,0.177190781,-0.599054217,1.062927246,0.031627540,1,29.999984741,0.977524400,-94.627136230,91,3.066666667,3.033333333,0.025772095,1,0,0,1,0,1
34,1789626019105000,0.182373047,-0.599054515,1.029975891,0.033356372,1,29.999984741,0.977521658,-94.601364136,92,3.100000000,3.050000000,0.025772095,1,0,0,1,0,1
35,1789626019120000,0.187553406,-0.599065721,0.998786926,0.031616259,1,29.999984741,0.977518439,-94.573822021,92,3.100000000,3.066666667,0.027542114,1,0,0,1,0,1
36,1789626019137000,0.192716599,-0.599066079,0.965812683,0.033376027,1,29.999986649,0.977515280,-94.546287537,93,3.133333333,3.083333333,0.027534485,1,0,0,1,0,1
37,1789626019154000,0.197881699,-0.599078655,0.934608459,0.031628817,1,29.999988556,0.977512062,-94.516983032,93,3.133333333,3.100000000,0.029304504,1,0,0,1,0,1
38,1789626019172000,0.203012466,-0.599078774,0.901657104,0.033348411,1,29.999988556,0.977508843,-94.487678528,94,3.166666667,3.116666667,0.029304504,1,0,0,1,0,1
39,1789626019186000,0.208147049,-0.599091351,0.870445251,0.031631373,1,29.999988556,0.977505863,-94.456619263,94,3.166666667,3.133333333,0.031059265,1,0,0,1,0,1
40,1789626019204000,0.213249207,-0.599091530,0.837471008,0.033366639,1,29.999990463,0.977502882,-94.425559998,95,3.200000000,3.150000000,0.031059265,1,0,0,1,0,1
41,1789626019221000,0.218351364,-0.599103034,0.806251526,0.031633656,1,29.999992371,0.977500319,-94.392753601,95,3.200000000,3.166666667,0.032806396,1,0,0,1,0,1
42,1789626019239000,0.223413467,-0.599102974,0.773269653,0.033368081,1,29.999994278,0.977497697,-94.359947205,96,3.233333333,3.183333333,0.032806396,1,0,0,1,0,1
43,1789626019254000,0.223411560,-0.599113584,0.775009155,0.001739535,1,29.999996185,0.977495670,-94.325393677,96,3.233333333,3.200000000,0.034553528,1,0,0,1,0,1
44,1789626019271000,0.223409653,-0.599113524,0.775016785,0.000007864,1,29.999996185,0.977493644,-94.290840149,97,3.266666667,3.216666667,0.034553528,1,0,0,1,0,1
45,1789626019288000,0.223409653,-0.599123001,0.776763916,0.001747157,1,29.999996185,0.977492213,-94.254547119,97,3.266666667,3.233333333,0.036293030,1,0,0,1,0,1
46,1789626019304000,0.223411560,-0.599122882,0.776756287,0.000007865,1,29.999998093,0.977490723,-94.218254089,98,3.300000000,3.250000000,0.036293030,1,0,0,1,0,1
47,1789626019320000,0.223409653,-0.599130988,0.778480530,0.001724263,1,30.000000000,0.977489710,-94.180236816,98,3.300000000,3.266666667,0.038017273,1,0,0,1,0,1
48,1789626019336000,0.228324890,-0.599130809,0.745498657,0.033346117,1,30.000001907,0.977488756,-94.142211914,99,3.333333333,3.283333333,0.038024902,1,0,0,1,0,1
49,1789626019355000,0.228326797,-0.599137843,0.747222900,0.001724259,1,30.000003815,0.977488339,-94.102462769,99,3.333333333,3.300000000,0.039749146,1,0,0,1,0,1
50,1789626019371000,0.228322983,-0.599137902,0.747222900,0.000003815,1,30.000003815,0.977487922,-94.062713623,100,3.366666667,3.316666667,0.039749146,1,0,0,1,0,1
51,1789626019386000,0.228324890,-0.599144101,0.748931885,0.001708997,1,30.000003815,0.977487862,-94.021255493,100,3.366666667,3.333333333,0.041458130,1,0,0,1,0,1
52,1789626019404000,0.228322983,-0.599144220,0.748939514,0.000007865,1,30.000003815,0.977487803,-93.979789734,101,3.400000000,3.350000000,0.041465759,1,0,0,1,0,1
53,1789626019422000,0.228326797,-0.599149823,0.750640869,0.001701368,1,30.000003815,0.977488041,-93.936614990,101,3.400000000,3.366666667,0.043174744,1,0,0,1,0,1
54,1789626019437000,0.228328705,-0.599149823,0.750656128,0.000015378,1,30.000005722,0.977488279,-93.893432617,102,3.433333333,3.383333333,0.043182373,1,0,0,1,0,1
55,1789626019453000,0.228326797,-0.599154890,0.752357483,0.001701364,1,30.000005722,0.977488697,-93.848548889,102,3.433333333,3.400000000,0.044883728,1,0,0,1,0,1
56,1789626019470000,0.228324890,-0.599154890,0.752357483,0.000001907,1,30.000005722,0.977489114,-93.803665161,103,3.466666667,3.416666667,0.044883728,1,0,0,1,0,1
57,1789626019486000,0.228324890,-0.599159956,0.754051208,0.001693733,1,30.000005722,0.977489710,-93.757080078,103,3.466666667,3.433333333,0.046585083,1,0,0,1,0,1
58,1789626019503000,0.228326797,-0.599159956,0.754051208,0.000001907,1,30.000005722,0.977490306,-93.710502625,104,3.500000000,3.450000000,0.046577454,1,0,0,1,0,1
59,1789626019520000,0.228324890,-0.599164844,0.755752563,0.001701363,1,30.000003815,0.977490902,-93.662223816,104,3.500000000,3.466666667,0.048278809,1,0,0,1,0,1
60,1789626019537000,0.228326797,-0.599164724,0.755752563,0.000001911,1,30.000003815,0.977491498,-93.613945007,105,3.533333333,3.483333333,0.048278809,1,0,0,1,0,1
61,1789626019554000,0.228322983,-0.599169612,0.757446289,0.001693737,1,30.000003815,0.977492094,-93.563980103,105,3.533333333,3.500000000,0.049964905,1,0,0,1,0,1
62,1789626019570000,0.228324890,-0.599169612,0.757438660,0.000007864,1,30.000003815,0.977492690,-93.514015198,106,3.566666667,3.516666667,0.049964905,1,0,0,1,0,1
63,1789626019587000,0.228324890,-0.599174500,0.759124756,0.001686103,1,30.000003815,0.977493227,-93.462364197,106,3.566666667,3.533333333,0.051651001,1,0,0,1,0,1
64,1789626019602000,0.228324890,-0.599174440,0.759124756,0.000000060,1,30.000003815,0.977493763,-93.410713196,107,3.600000000,3.550000000,0.051651001,1,0,0,1,0,1
65,1789626019619000,0.228324890,-0.599179327,0.760803223,0.001678474,1,30.000003815,0.977494180,-93.357383728,107,3.600000000,3.566666667,0.053329468,1,0,0,1,0,1
66,1789626019637000,0.228324890,-0.599179387,0.760803223,0.000000060,1,30.000003815,0.977494597,-93.304054260,108,3.633333333,3.583333333,0.053329468,1,0,0,1,0,1
67,1789626019653000,0.228324890,-0.599184453,0.762474060,0.001670845,1,30.000003815,0.977494955,-93.249053955,108,3.633333333,3.600000000,0.055000305,1,0,0,1,0,1
68,1789626019669000,0.228324890,-0.599184513,0.762474060,0.000000060,1,30.000001907,0.977495313,-93.194053650,109,3.666666667,3.616666667,0.055000305,1,0,0,1,0,1
69,1789626019687000,0.228324890,-0.599189639,0.764144897,0.001670845,1,30.000001907,0.977495551,-93.137390137,109,3.666666667,3.633333333,0.056663513,1,0,0,1,0,1
70,1789626019703000,0.228324890,-0.599189520,0.764144897,0.000000119,1,30.000001907,0.977495730,-93.080718994,109,3.666666667,3.650000000,0.056671143,1,0,0,1,0,1
71,1789626019719000,0.228322983,-0.599195242,0.765800476,0.001655590,1,30.000000000,0.977495849,-93.022384644,110,3.700000000,3.666666667,0.058334351,1,0,0,1,0,1
72,1789626019737000,0.228322983,-0.599195123,0.765792847,0.000007630,1,30.000000000,0.977495968,-92.964057922,111,3.733333333,3.683333333,0.058326721,1,0,0,1,0,1
73,1789626019755000,0.228324890,-0.599200726,0.767456055,0.001663218,1,30.000000000,0.977496028,-92.904067993,111,3.733333333,3.700000000,0.059989929,1,0,0,1,0,1
74,1789626019769000,0.228324890,-0.599200666,0.767448425,0.000007630,1,30.000000000,0.977496028,-92.844085693,112,3.766666667,3.716666667,0.059982300,1,0,0,1,0,1
75,1789626019787000,0.228324890,-0.599206448,0.769111633,0.001663218,1,30.000000000,0.977496028,-92.782447815,112,3.766666667,3.733333333,0.061637878,1,0,0,1,0,1
76,1789626019805000,0.228324890,-0.599206388,0.769111633,0.000000060,1,30.000000000,0.977496028,-92.720809937,113,3.800000000,3.750000000,0.061637878,1,0,0,1,0,1
77,1789626019822000,0.228322983,-0.599212050,0.770751953,0.001640331,1,30.000000000,0.977495968,-92.657531738,113,3.800000000,3.766666667,0.063278198,1,0,0,1,0,1
78,1789626019836000,0.228326797,-0.599212050,0.770751953,0.000003815,1,30.000000000,0.977495909,-92.594245911,113,3.800000000,3.783333333,0.063285828,1,0,0,1,0,1
79,1789626019853000,0.228326797,-0.599218130,0.772384644,0.001632702,1,30.000000000,0.977495790,-92.529327393,114,3.833333333,3.800000000,0.064918518,1,0,0,1,0,1
80,1789626019871000,0.228326797,-0.599218130,0.772392273,0.000007629,1,30.000000000,0.977495670,-92.464401245,115,3.866666667,3.816666667,0.064926147,1,0,0,1,0,1
81,1789626019889000,0.228326797,-0.599223137,0.774032593,0.001640327,1,30.000000000,0.977495551,-92.397842407,115,3.866666667,3.833333333,0.066558838,1,0,0,1,0,1
82,1789626019904000,0.228324890,-0.599223137,0.774024963,0.000007864,1,29.999998093,0.977495492,-92.331291199,116,3.900000000,3.850000000,0.066551208,1,0,0,1,0,1
83,1789626019920000,0.228324890,-0.599229217,0.775657654,0.001632702,1,29.999998093,0.977495372,-92.263107300,116,3.900000000,3.866666667,0.068183899,1,0,0,1,0,1
84,1789626019939000,0.228322983,-0.599229217,0.775657654,0.000001907,1,29.999998093,0.977495253,-92.194923401,117,3.933333333,3.883333333,0.068183899,1,0,0,1,0,1
85,1789626019959000,0.228324890,-0.599234641,0.777282715,0.001625071,1,29.999998093,0.977495193,-92.125114441,117,3.933333333,3.900000000,0.069808960,1,0,0,1,0,1
86,1789626019973000,0.228324890,-0.599234462,0.777282715,0.000000179,1,29.999998093,0.977495074,-92.055305481,118,3.966666667,3.916666667,0.069808960,1,0,0,1,0,1
87,1789626019987000,0.228324890,-0.599239826,0.778900146,0.001617441,1,29.999998093,0.977494955,-91.983879089,118,3.966666667,3.933333333,0.071426392,1,0,0,1,0,1
88,1789626020004000,0.232337952,-0.599240005,0.745773315,0.033369023,1,29.999998093,0.977494836,-91.912452698,118,3.966666667,3.950000000,0.071426392,1,0,0,1,0,1
89,1789626020028000,0.232337952,-0.599245310,0.747383118,0.001609811,1,29.999998093,0.977494776,-91.839416504,119,4.000000000,3.966666667,0.073036194,1,0,0,1,0,1
90,1789626020037000,0.232337952,-0.599245310,0.747383118,0.000000000,1,29.999998093,0.977494717,-91.766380310,119,4.000000000,3.983333333,0.073036194,1,0,0,1,0,1
91,1789626020057000,0.232337952,-0.599250138,0.748992920,0.001609809,1,29.999998093,0.977494657,-91.691741943,120,4.033333333,4.000000000,0.074638367,1,0,0,1,0,1
92,1789626020071000,0.224733353,-0.599249959,0.716514587,0.033356737,1,29.999998093,0.977494597,-91.617103577,120,4.033333333,4.016666667,0.074638367,1,0,0,1,0,1
93,1789626020087000,0.223476410,-0.599294662,0.712753296,0.003966008,1,29.999998093,0.977494597,-91.540863037,121,4.066666667,4.033333333,0.076240540,1,1,0,0,0,1
94,1789626020105000,0.222257614,-0.599278212,0.707839966,0.005062267,1,29.999998093,0.977494538,-91.464614868,122,4.100000000,4.050000000,0.076248169,1,1,1,0,0,1
95,1789626020120000,0.214645386,-0.599261284,0.738037109,0.031141832,1,29.999998093,0.977494478,-91.386772156,122,4.100000000,4.066666667,0.077842712,1,0,1,0,0,1
96,1789626020137000,0.208147049,-0.599261045,0.707099915,0.031612314,1,29.999998093,0.977494478,-91.308929443,123,4.133333333,4.083333333,0.077842712,1,1,1,0,0,1
97,1789626020154000,0.201269150,-0.599266648,0.738395691,0.032042645,1,29.999998093,0.977494478,-91.229492188,123,4.133333333,4.100000000,0.079437256,1,0,1,0,0,1
98,1789626020173000,0.196393967,-0.599266410,0.712463379,0.026386593,1,29.999998093,0.977494478,-91.150062561,124,4.166666667,4.116666667,0.079429626,1,1,1,0,0,1
99,1789626020186000,0.196397781,-0.599022746,0.714042664,0.001597976,1,29.999998093,0.977494478,-91.069046021,124,4.166666667,4.133333333,0.081016541,1,1,1,0,0,1
100,1789626020203000,0.196395874,-0.599022806,0.714042664,0.000001908,1,29.999998093,0.977494538,-90.988029480,125,4.200000000,4.150000000,0.081016541,1,1,1,0,0,1
101,1789626020223000,0.196397781,-0.599027991,0.715629578,0.001586924,1,29.999998093,0.977494597,-90.905426025,125,4.200000000,4.166666667,0.082603455,1,1,1,0,0,1
102,1789626020237000,0.196397781,-0.599027991,0.715621948,0.000007629,1,29.999998093,0.977494597,-90.822830200,126,4.233333333,4.183333333,0.082595825,1,1,1,0,0,1
103,1789626020253000,0.196395874,-0.599033117,0.717193604,0.001571665,1,29.999998093,0.977494597,-90.738662720,126,4.233333333,4.200000000,0.084167480,1,1,1,0,0,1
104,1789626020270000,0.196397781,-0.599033117,0.717201233,0.000007864,1,29.999998093,0.977494597,-90.654487610,127,4.266666667,4.216666667,0.084175110,1,1,1,0,0,1
105,1789626020287000,0.196395874,-0.599038303,0.718772888,0.001571665,1,29.999998093,0.977494597,-90.568740845,127,4.266666667,4.233333333,0.085746765,1,1,1,0,0,1
106,1789626020304000,0.196397781,-0.599038363,0.718757629,0.000015378,1,29.999998093,0.977494657,-90.483001709,128,4.300000000,4.250000000,0.085739136,1,1,1,0,0,1
107,1789626020319000,0.196395874,-0.599043429,0.720329285,0.001571665,1,29.999998093,0.977494717,-90.395690918,128,4.300000000,4.266666667,0.087310791,1,1,1,0,0,1
108,1789626020336000,0.196397781,-0.599043369,0.720329285,0.000001908,1,29.999998093,0.977494717,-90.308380127,129,4.333333333,4.283333333,0.087310791,1,1,1,0,0,1
109,1789626020354000,0.196397781,-0.599048495,0.721885681,0.001556405,1,29.999998093,0.977494717,-90.219512939,129,4.333333333,4.300000000,0.088867188,1,1,1,0,0,1
110,1789626020370000,0.196395874,-0.599048495,0.721885681,0.000001907,1,29.999998093,0.977494717,-90.130645752,130,4.366666667,4.316666667,0.088867188,1,1,1,0,0,1
111,1789626020387000,0.196397781,-0.599053502,0.723442078,0.001556406,1,29.999998093,0.977494717,-90.040222168,130,4.366666667,4.333333333,0.090423584,1,1,1,0,0,1
112,1789626020403000,0.196395874,-0.599053562,0.723442078,0.000001908,1,29.999998093,0.977494717,-89.949798584,131,4.400000000,4.350000000,0.090423584,1,1,1,0,0,1
113,1789626020420000,0.196397781,-0.599058628,0.724990845,0.001548777,1,29.999998093,0.977494717,-89.857826233,131,4.400000000,4.366666667,0.091972351,1,1,1,0,0,1
114,1789626020437000,0.196395874,-0.599058628,0.724998474,0.000007864,1,29.999998093,0.977494717,-89.765853882,132,4.433333333,4.383333333,0.091972351,1,1,1,0,0,1
115,1789626020452000,0.196397781,-0.599063754,0.726547241,0.001548777,1,29.999998093,0.977494717,-89.672332764,132,4.433333333,4.400000000,0.093521118,1,1,1,0,0,1
116,1789626020470000,0.196395874,-0.599063754,0.726539612,0.000007864,1,29.999998093,0.977494776,-89.578819275,133,4.466666667,4.416666667,0.093513489,1,1,1,0,0,1
117,1789626020486000,0.196397781,-0.599068761,0.728080750,0.001541147,1,29.999998093,0.977494776,-89.483764648,133,4.466666667,4.433333333,0.095054626,1,0,1,0,0,1
118,1789626020503000,0.191314697,-0.599317551,0.760993958,0.033304337,1,29.999998093,0.977494776,-89.388710022,134,4.500000000,4.450000000,0.095054626,1,0,1,0,0,1
119,1789626020520000,0.186233521,-0.599322498,0.795440674,0.034819458,1,30.000000000,0.977494776,-89.292121887,134,4.500000000,4.466666667,0.096588135,1,0,1,0,0,1
120,1789626020537000,0.181142807,-0.599322200,0.828346252,0.033297032,1,30.000000000,0.977494776,-89.195533752,135,4.533333333,4.483333333,0.096588135,1,0,0,1,0,1
121,1789626020553000,0.176052094,-0.599327564,0.862777710,0.034805756,1,30.000000000,0.977494776,-89.097419739,135,4.533333333,4.500000000,0.098114014,1,0,0,1,0,1
122,1789626020570000,0.170957565,-0.599327564,0.895698547,0.033312697,1,30.000000000,0.977494776,-88.999305725,136,4.566666667,4.516666667,0.098114014,1,0,0,1,0,1
123,1789626020586000,0.165859222,-0.599332571,0.930137634,0.034814421,1,30.000000000,0.977494776,-88.899665833,136,4.566666667,4.533333333,0.099639893,1,0,0,1,0,1
124,1789626020603000,0.160757065,-0.599332571,0.963050842,0.033306323,1,30.000000000,0.977494776,-88.800025940,137,4.600000000,4.550000000,0.099639893,1,0,0,1,0,1
125,1789626020620000,0.155653000,-0.599337459,0.997482300,0.034807712,1,30.000000000,0.977494776,-88.698867798,137,4.600000000,4.566666667,0.101158142,1,0,0,1,0,1
126,1789626020637000,0.150543213,-0.599337637,1.030403137,0.033315033,1,30.000000000,0.977494776,-88.597702026,138,4.633333333,4.583333333,0.101165771,1,0,0,1,0,1
127,1789626020653000,0.145433426,-0.599342465,1.064826965,0.034801006,1,30.000000000,0.977494776,-88.495025635,138,4.633333333,4.600000000,0.102676392,1,0,0,1,0,1
128,1789626020670000,0.140314102,-0.599342585,1.097732544,0.033301417,1,30.000000000,0.977494776,-88.392356873,139,4.666666667,4.616666667,0.102668762,1,0,0,1,0,1
129,1789626020687000,0.135190964,-0.599347472,1.132156372,0.034802966,1,30.000000000,0.977494776,-88.288177490,139,4.666666667,4.633333333,0.104179382,1,0,0,1,0,1
130,1789626020703000,0.130065918,-0.599347532,1.165077209,0.033317376,1,30.000000000,0.977494776,-88.183990479,140,4.700000000,4.650000000,0.104187012,1,0,0,1,0,1
131,1789626020720000,0.124937057,-0.599352360,1.199485779,0.034788717,1,30.000000000,0.977494776,-88.078308105,140,4.700000000,4.666666667,0.105682373,1,0,0,1,0,1
132,1789626020737000,0.119798660,-0.599352360,1.232391357,0.033304356,1,30.000000000,0.977494776,-87.972625732,141,4.733333333,4.683333333,0.105682373,1,0,0,1,0,1
133,1789626020754000,0.114660263,-0.599357367,1.266807556,0.034797668,1,30.000000000,0.977494717,-87.865440369,141,4.733333333,4.700000000,0.107185364,1,0,0,1,0,1
134,1789626020771000,0.109516144,-0.599357367,1.299705505,0.033297703,1,30.000000000,0.977494717,-87.758255005,142,4.766666667,4.716666667,0.107185364,1,0,0,1,0,1
135,1789626020787000,0.104368210,-0.599362254,1.334098816,0.034776445,1,30.000000000,0.977494717,-87.649581909,142,4.766666667,4.733333333,0.108673096,1,0,0,1,0,1
136,1789626020804000,0.099210739,-0.599362195,1.367012024,0.033314843,1,30.000000000,0.977494717,-87.540901184,143,4.800000000,4.750000000,0.108680725,1,0,0,1,0,1
137,1789626020819000,0.094049454,-0.599366963,1.401405334,0.034778424,1,30.000000000,0.977494717,-87.430740356,143,4.800000000,4.766666667,0.110160828,1,0,0,1,0,1
138,1789626020837000,0.088878632,-0.599367142,1.434318542,0.033316914,1,30.000000000,0.977494717,-87.320571899,144,4.833333333,4.783333333,0.110168457,1,0,0,1,0,1
139,1789626020853000,0.083707809,-0.599371850,1.468704224,0.034772296,1,30.000000000,0.977494717,-87.208923340,144,4.833333333,4.800000000,0.111648560,1,0,0,1,0,1
140,1789626020869000,0.078525543,-0.599371910,1.501602173,0.033303618,1,30.000000000,0.977494717,-87.097282410,145,4.866666667,4.816666667,0.111640930,1,0,0,1,0,1
141,1789626020887000,0.073345184,-0.599376857,1.535987854,0.034773715,1,30.000000000,0.977494717,-86.984161377,145,4.866666667,4.833333333,0.113121033,1,0,0,1,0,1
142,1789626020903000,0.068143845,-0.599376798,1.568893433,0.033314127,1,30.000000000,0.977494717,-86.871032715,146,4.900000000,4.850000000,0.113128662,1,0,0,1,0,1
143,1789626020920000,0.062942505,-0.599381506,1.603263855,0.034761760,1,30.000000000,0.977494717,-86.756431580,146,4.900000000,4.866666667,0.114601135,1,0,0,1,0,1
144,1789626020937000,0.057723999,-0.599381685,1.636161804,0.033309277,1,30.000000000,0.977494717,-86.641830444,147,4.933333333,4.883333333,0.114601135,1,0,0,1,0,1
145,1789626020954000,0.052505493,-0.599386454,1.670524597,0.034756787,1,30.000000000,0.977494717,-86.525764465,147,4.933333333,4.900000000,0.116065979,1,0,0,1,0,1
146,1789626020970000,0.047262192,-0.599386394,1.703414917,0.033305634,1,30.000000000,0.977494717,-86.409698486,148,4.966666667,4.916666667,0.116065979,1,0,0,1,0,1
147,1789626020986000,0.042020798,-0.599391162,1.737777710,0.034760233,1,30.000000000,0.977494717,-86.292167664,148,4.966666667,4.933333333,0.117530823,1,0,0,1,0,1
148,1789626021003000,0.036750793,-0.599391162,1.770675659,0.033317383,1,30.000000000,0.977494717,-86.174636841,149,5.000000000,4.950000000,0.117530823,1,0,0,1,0,1
149,1789626021021000,0.031480789,-0.599395931,1.805023193,0.034749474,1,30.000000000,0.977494717,-86.055648804,149,5.000000000,4.966666667,0.118988037,1,0,0,1,0,1
150,1789626021037000,0.026170731,-0.599395931,1.837921143,0.033323742,1,30.000000000,0.977494717,-85.936653137,150,5.033333333,4.983333333,0.118995667,1,0,0,1,0,1
151,1789626021054000,0.032106400,-0.599400640,1.806541443,0.031936150,1,30.000000000,0.977494717,-85.816207886,150,5.033333333,5.000000000,0.120445251,1,0,0,1,0,1
152,1789626021072000,0.038036346,-0.599400401,1.773712158,0.033360548,1,30.000000000,0.977494717,-85.695762634,151,5.066666667,5.016666667,0.120445251,1,0,0,1,0,1
153,1789626021087000,0.043964386,-0.599405527,1.742324829,0.031942230,1,30.000000000,0.977494717,-85.573867798,151,5.066666667,5.033333333,0.121894836,1,0,0,1,0,1
154,1789626021105000,0.049884796,-0.599406004,1.709495544,0.033358853,1,30.000000000,0.977494717,-85.451972961,152,5.100000000,5.050000000,0.121894836,1,0,0,1,0,1
155,1789626021120000,0.055805206,-0.599410057,1.678115845,0.031933319,1,30.000000000,0.977494717,-85.328628540,152,5.100000000,5.066666667,0.123344421,1,0,0,1,0,1
156,1789626021136000,0.061717987,-0.599409938,1.645278931,0.033365007,1,30.000000000,0.977494717,-85.205291748,153,5.133333333,5.083333333,0.123336792,1,0,0,1,0,1
157,1789626021153000,0.067630768,-0.599414706,1.613883972,0.031946901,1,30.000000000,0.977494717,-85.080513000,153,5.133333333,5.100000000,0.124778748,1,0,0,1,0,1
158,1789626021170000,0.073535919,-0.599414825,1.581047058,0.033363659,1,30.000000000,0.977494717,-84.955734253,154,5.166666667,5.116666667,0.124778748,1,0,0,1,0,1
159,1789626021186000,0.079439163,-0.599419355,1.549652100,0.031945135,1,30.000000000,0.977494717,-84.829521179,154,5.166666667,5.133333333,0.126213074,1,0,0,1,0,1
